Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nene Hilario (11735550),Nene Hilario,11735550,C/UTIL,3300,CHI@HOU 12/01/2018 08:00PM ET,HOU,0
SG/SF,Gerald Green (11735552),Gerald Green,11735552,SG/SF/F/G/UTIL,3300,CHI@HOU 12/01/2018 08:00PM ET,HOU,11.94
PG,Shaquille Harrison (11735557),Shaquille Harrison,11735557,PG/G/UTIL,3300,CHI@HOU 12/01/2018 08:00PM ET,CHI,16.59
C,Robin Lopez (11735565),Robin Lopez,11735565,C/UTIL,3300,CHI@HOU 12/01/2018 08:00PM ET,CHI,11.54
SG,Malachi Richardson (11735579),Malachi Richardson,11735579,SG/G/UTIL,3200,TOR@CLE 12/01/2018 08:00PM ET,TOR,2.64
PG,Lorenzo Brown (11735582),Lorenzo Brown,11735582,PG/G/UTIL,3200,TOR@CLE 12/01/2018 08:00PM ET,TOR,7.29
C,Greg Monroe (11735585),Greg Monroe,11735585,C/UTIL,3200,TOR@CLE 12/01/2018 08:00PM ET,TOR,8.25
PG,Andrew Harrison (11735587),Andrew Harrison,11735587,PG/G/UTIL,3200,TOR@CLE 12/01/2018 08:00PM ET,CLE,8.89
PG/SG,Shabazz Napier (11735590),Shabazz Napier,11735590,PG/SG/G/UTIL,3200,BKN@WAS 12/01/2018 07:00PM ET,BKN,14.57
PG,Tyus Jones (11735594),Tyus Jones,11735594,PG/G/UTIL,3200,BOS@MIN 12/01/2018 08:00PM ET,MIN,13.75
PG,Shaun Livingston (11735573),Shaun Livingston,11735573,PG/G/UTIL,3200,GS@DET 12/01/2018 07:00PM ET,GS,13.27
C,Zaza Pachulia (11735597),Zaza Pachulia,11735597,C/UTIL,3200,GS@DET 12/01/2018 07:00PM ET,DET,12.64
SF,Gary Clark (11735567),Gary Clark,11735567,SF/F/UTIL,3200,CHI@HOU 12/01/2018 08:00PM ET,HOU,11.14
SG,Danuel House (11735599),Danuel House,11735599,SG/G/UTIL,3200,CHI@HOU 12/01/2018 08:00PM ET,HOU,17.25
PF,Harry Giles (11735570),Harry Giles,11735570,PF/F/UTIL,3200,IND@SAC 12/01/2018 10:00PM ET,SAC,12.15
SG,Troy Williams (11735576),Troy Williams,11735576,SG/G/UTIL,3200,IND@SAC 12/01/2018 10:00PM ET,SAC,12.04
SG/SF,C.J. Miles (11735610),C.J. Miles,11735610,SG/SF/F/G/UTIL,3100,TOR@CLE 12/01/2018 08:00PM ET,TOR,9.94
SG/SF,Norman Powell (11735615),Norman Powell,11735615,SG/SF/F/G/UTIL,3100,TOR@CLE 12/01/2018 08:00PM ET,TOR,11
C,Ante Zizic (11735620),Ante Zizic,11735620,C/UTIL,3100,TOR@CLE 12/01/2018 08:00PM ET,CLE,7.46
PF/C,Jason Smith (11735622),Jason Smith,11735622,PF/C/F/UTIL,3100,BKN@WAS 12/01/2018 07:00PM ET,WAS,10.20
SF/PF,Jared Dudley (11735626),Jared Dudley,11735626,SF/PF/F/UTIL,3100,BKN@WAS 12/01/2018 07:00PM ET,BKN,11.97
SF/PF,Glenn Robinson III (11735606),Glenn Robinson III,11735606,SF/PF/F/UTIL,3100,GS@DET 12/01/2018 07:00PM ET,DET,9.32
PF,Alfonzo McKinnie (11735630),Alfonzo McKinnie,11735630,PF/F/UTIL,3100,GS@DET 12/01/2018 07:00PM ET,GS,12.86
SG,Bruce Brown Jr. (11735633),Bruce Brown Jr.,11735633,SG/G/UTIL,3100,GS@DET 12/01/2018 07:00PM ET,DET,8.40
SG,Damion Lee (11735639),Damion Lee,11735639,SG/G/UTIL,3100,GS@DET 12/01/2018 07:00PM ET,GS,10.54
PF/C,Kyle O'Quinn (11735602),Kyle O'Quinn,11735602,PF/C/F/UTIL,3100,IND@SAC 12/01/2018 10:00PM ET,IND,7.83
PF,TJ Leaf (11735636),TJ Leaf,11735636,PF/F/UTIL,3100,IND@SAC 12/01/2018 10:00PM ET,IND,4.71
PG,Jordan Loyd (11735648),Jordan Loyd,11735648,PG/G/UTIL,3000,TOR@CLE 12/01/2018 08:00PM ET,TOR,6.75
PF,Chris Boucher (11735651),Chris Boucher,11735651,PF/F/UTIL,3000,TOR@CLE 12/01/2018 08:00PM ET,TOR,9.42
PF,Billy Preston (11735654),Billy Preston,11735654,PF/F/UTIL,3000,TOR@CLE 12/01/2018 08:00PM ET,CLE,0
PF/C,Channing Frye (11735657),Channing Frye,11735657,PF/C/F/UTIL,3000,TOR@CLE 12/01/2018 08:00PM ET,CLE,6.12
C,Ian Mahinmi (11735661),Ian Mahinmi,11735661,C/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,WAS,10.67
PF,Okaro White (11735663),Okaro White,11735663,PF/F/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,WAS,2.5
PG/SG,Jordan McRae (11735666),Jordan McRae,11735666,PG/SG/G/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,WAS,4
SG,Devin Robinson (11735670),Devin Robinson,11735670,SG/G/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,WAS,12.5
SF,Troy Brown (11735673),Troy Brown,11735673,SF/F/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,WAS,6.25
PF/C,Kenneth Faried (11735676),Kenneth Faried,11735676,PF/C/F/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,6.04
SG/SF,Treveon Graham (11735680),Treveon Graham,11735680,SG/SF/F/G/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,3.75
C,Alan Williams (11735685),Alan Williams,11735685,C/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,0
SF,Dzanan Musa (11735687),Dzanan Musa,11735687,SF/F/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,2.96
PF,Rodions Kurucs (11735690),Rodions Kurucs,11735690,PF/F/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,10.89
SG,Theo Pinson (11735693),Theo Pinson,11735693,SG/G/UTIL,3000,BKN@WAS 12/01/2018 07:00PM ET,BKN,3.88
SF,Keita Bates-Diop (11735696),Keita Bates-Diop,11735696,SF/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,4.88
PG,Jared Terrell (11735699),Jared Terrell,11735699,PG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,12.25
SF/PF,Anthony Tolliver (11735702),Anthony Tolliver,11735702,SF/PF/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,12.2
SF/PF,Luol Deng (11735706),Luol Deng,11735706,SF/PF/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,9.58
PG/SG,Jerryd Bayless (11735710),Jerryd Bayless,11735710,PG/SG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,0
SG/SF,C.J. Williams (11735714),C.J. Williams,11735714,SG/SF/F/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,3.5
SG/SF,James Nunnally (11735719),James Nunnally,11735719,SG/SF/F/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,MIN,4.04
PG/SG,Brad Wanamaker (11735724),Brad Wanamaker,11735724,PG/SG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,6.17
SG,Jabari Bird (11735728),Jabari Bird,11735728,SG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,0
PG,Walt Lemon Jr. (11735731),Walt Lemon Jr.,11735731,PG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,0
PF,Semi Ojeleye (11735734),Semi Ojeleye,11735734,PF/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,5.28
PG,PJ Dozier (11735737),PJ Dozier,11735737,PG/G/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,12.5
PF,Guerschon Yabusele (11735740),Guerschon Yabusele,11735740,PF/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,4.68
C,Robert Williams (11735743),Robert Williams,11735743,C/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,5.75
PF/C,Daniel Theis (11735745),Daniel Theis,11735745,PF/C/F/UTIL,3000,BOS@MIN 12/01/2018 08:00PM ET,BOS,10.5
SF,Marcus Derrickson (11735749),Marcus Derrickson,11735749,SF/F/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,GS,1.38
SG,Jacob Evans III (11735752),Jacob Evans III,11735752,SG/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,GS,2.69
SG/SF,Luke Kennard (11735755),Luke Kennard,11735755,SG/SF/F/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,10.58
SG,Khyri Thomas (11735760),Khyri Thomas,11735760,SG/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,2.58
PF,Henry Ellenson (11735763),Henry Ellenson,11735763,PF/F/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,11.25
PG,Keenan Evans (11735766),Keenan Evans,11735766,PG/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,0
PG,Zach Lofton (11735769),Zach Lofton,11735769,PG/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,1.5
PG,Jose Calderon (11735772),Jose Calderon,11735772,PG/G/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,5.96
PF/C,Jon Leuer (11735775),Jon Leuer,11735775,PF/C/F/UTIL,3000,GS@DET 12/01/2018 07:00PM ET,DET,6.03
PF,Isaiah Hartenstein (11735642),Isaiah Hartenstein,11735642,PF/F/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,5.98
PG,Antonio Blakeney (11735645),Antonio Blakeney,11735645,PG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,14.41
SF,Vincent Edwards (11735779),Vincent Edwards,11735779,SF/F/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,4.75
PF/C,Marquese Chriss (11735782),Marquese Chriss,11735782,PF/C/F/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,4.5
C,Zhou Qi (11735786),Zhou Qi,11735786,C/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,2
PG/SG,Brandon Knight (11735788),Brandon Knight,11735788,PG/SG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,0
PG,Michael Carter-Williams (11735792),Michael Carter-Williams,11735792,PG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,HOU,8.69
SG,Chandler Hutchison (11735795),Chandler Hutchison,11735795,SG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,12.14
PG,Rawle Alkins (11735798),Rawle Alkins,11735798,PG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,0
C,Cristiano Felicio (11735801),Cristiano Felicio,11735801,C/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,9.28
PG/SG,Cameron Payne (11735803),Cameron Payne,11735803,PG/SG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,14
PG,Tyler Ulis (11735807),Tyler Ulis,11735807,PG/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,0
SG/SF,Denzel Valentine (11735810),Denzel Valentine,11735810,SG/SF/F/G/UTIL,3000,CHI@HOU 12/01/2018 08:00PM ET,CHI,0
PF/C,Skal Labissiere (11735815),Skal Labissiere,11735815,PF/C/F/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,5.11
PG,Frank Mason III (11735819),Frank Mason III,11735819,PG/G/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,12.3
SF,Wenyen Gabriel (11735822),Wenyen Gabriel,11735822,SF/F/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,0
C,Kosta Koufos (11735825),Kosta Koufos,11735825,C/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,14.93
PF/C,Zach Randolph (11735827),Zach Randolph,11735827,PF/C/F/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,0
SG/SF,Ben McLemore (11735831),Ben McLemore,11735831,SG/SF/F/G/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,2.75
PG/SG,Yogi Ferrell (11735836),Yogi Ferrell,11735836,PG/SG/G/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,SAC,9.92
PF/C,Ike Anigbogu (11735840),Ike Anigbogu,11735840,PF/C/F/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,IND,2.25
PF,Alize Johnson (11735844),Alize Johnson,11735844,PF/F/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,IND,2.33
PG,Edmond Sumner (11735847),Edmond Sumner,11735847,PG/G/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,IND,1.54
SG,Davon Reed (11735850),Davon Reed,11735850,SG/G/UTIL,3000,IND@SAC 12/01/2018 10:00PM ET,IND,0
