Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Jaren Jackson Jr. (11700665),Jaren Jackson Jr.,11700665,PF/F/UTIL,5900,NYK@MEM 11/25/2018 06:00PM ET,MEM,30.5855812614
SF/PF,Danilo Gallinari (11700684),Danilo Gallinari,11700684,SF/PF/F/UTIL,5800,LAC@POR 11/25/2018 09:00PM ET,LAC,30.2062324712
SG/SF,Joe Ingles (11700679),Joe Ingles,11700679,SG/SF/F/G/UTIL,5800,UTA@SAC 11/25/2018 08:00PM ET,UTA,28.6911810533
C,Jarrett Allen (11700688),Jarrett Allen,11700688,C/UTIL,5700,PHI@BKN 11/25/2018 06:00PM ET,BKN,31.2945185754
SF,Taurean Prince (11700690),Taurean Prince,11700690,SF/F/UTIL,5600,CHA@ATL 11/25/2018 06:00PM ET,ATL,0.0
C,John Collins (11700693),John Collins,11700693,C/UTIL,5500,CHA@ATL 11/25/2018 06:00PM ET,ATL,22.1282518959
SG/SF,Buddy Hield (11700695),Buddy Hield,11700695,SG/SF/F/G/UTIL,5400,UTA@SAC 11/25/2018 08:00PM ET,SAC,31.8184098109
PF/C,Noah Vonleh (11700700),Noah Vonleh,11700700,PF/C/F/UTIL,5300,NYK@MEM 11/25/2018 06:00PM ET,NYK,27.5684013711
C,Jonas Valanciunas (11700704),Jonas Valanciunas,11700704,C/UTIL,5300,MIA@TOR 11/25/2018 06:00PM ET,TOR,23.1693042965
SG/SF,JJ Redick (11700710),JJ Redick,11700710,SG/SF/F/G/UTIL,5200,PHI@BKN 11/25/2018 06:00PM ET,PHI,0.0
PG,Shai Gilgeous-Alexander (11700720),Shai Gilgeous-Alexander,11700720,PG/G/UTIL,5100,LAC@POR 11/25/2018 09:00PM ET,LAC,22.3892567778
PG/SF,Kyle Anderson (11700723),Kyle Anderson,11700723,PG/SF/F/G/UTIL,5000,NYK@MEM 11/25/2018 06:00PM ET,MEM,26.490592301
SG/SF,Nicolas Batum (11700732),Nicolas Batum,11700732,SG/SF/F/G/UTIL,5000,CHA@ATL 11/25/2018 06:00PM ET,CHA,20.644086943
