Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Vince Carter (11720804),Vince Carter,11720804,SG/SF/F/G/UTIL,3200,ATL@CHA 11/28/2018 07:00PM ET,ATL,13.75
PG,Tyus Jones (11720848),Tyus Jones,11720848,PG/G/UTIL,3200,SA@MIN 11/28/2018 08:00PM ET,MIN,13.14
PG,Raul Neto (11720784),Raul Neto,11720784,PG/G/UTIL,3200,UTA@BKN 11/28/2018 07:30PM ET,UTA,10.25
PG/SG,Grayson Allen (11720809),Grayson Allen,11720809,PG/SG/G/UTIL,3200,UTA@BKN 11/28/2018 07:30PM ET,UTA,5.62
PG/SG,Shabazz Napier (11720813),Shabazz Napier,11720813,PG/SG/G/UTIL,3200,UTA@BKN 11/28/2018 07:30PM ET,BKN,13.43
PF/C,Jarell Martin (11720787),Jarell Martin,11720787,PF/C/F/UTIL,3200,ORL@POR 11/28/2018 10:00PM ET,ORL,6.71
SF/PF,Moe Harkless (11720817),Moe Harkless,11720817,SF/PF/F/UTIL,3200,ORL@POR 11/28/2018 10:00PM ET,POR,11.31
SG/SF,Jonathon Simmons (11720821),Jonathon Simmons,11720821,SG/SF/F/G/UTIL,3200,ORL@POR 11/28/2018 10:00PM ET,ORL,15.83
PF,Maxi Kleber (11720795),Maxi Kleber,11720795,PF/F/UTIL,3200,DAL@HOU 11/28/2018 08:00PM ET,DAL,15.74
PF/C,Isaiah Hartenstein (11720826),Isaiah Hartenstein,11720826,PF/C/F/UTIL,3200,DAL@HOU 11/28/2018 08:00PM ET,HOU,6.15
SG/SF,Timothe Luwawu-Cabarrot (11720830),Timothe Luwawu-Cabarrot,11720830,SG/SF/F/G/UTIL,3200,CLE@OKC 11/28/2018 08:00PM ET,OKC,5.71
PG,Andrew Harrison (11720835),Andrew Harrison,11720835,PG/G/UTIL,3200,CLE@OKC 11/28/2018 08:00PM ET,CLE,9.31
SG/SF,Hamidou Diallo (11720851),Hamidou Diallo,11720851,SG/SF/F/G/UTIL,3200,CLE@OKC 11/28/2018 08:00PM ET,OKC,12.59
SF/PF,Wesley Johnson (11720838),Wesley Johnson,11720838,SF/PF/F/UTIL,3200,WAS@NO 11/28/2018 08:00PM ET,NO,12.73
PF/C,Cheick Diallo (11720856),Cheick Diallo,11720856,PF/C/F/UTIL,3200,WAS@NO 11/28/2018 08:00PM ET,NO,11.2
PG/SG,Landry Shamet (11720791),Landry Shamet,11720791,PG/SG/G/UTIL,3200,NY@PHI 11/28/2018 07:00PM ET,PHI,13.28
C,Mitchell Robinson (11720842),Mitchell Robinson,11720842,C/UTIL,3200,NY@PHI 11/28/2018 07:00PM ET,NY,15.34
SF/PF,Mario Hezonja (11720844),Mario Hezonja,11720844,SF/PF/F/UTIL,3200,NY@PHI 11/28/2018 07:00PM ET,NY,15.14
PG/SG,T.J. McConnell (11720860),T.J. McConnell,11720860,PG/SG/G/UTIL,3200,NY@PHI 11/28/2018 07:00PM ET,PHI,10.80
PG/SG,Matthew Dellavedova (11720871),Matthew Dellavedova,11720871,PG/SG/G/UTIL,3100,CHI@MIL 11/28/2018 08:00PM ET,MIL,5.98
SG/SF,Sterling Brown (11720905),Sterling Brown,11720905,SG/SF/F/G/UTIL,3100,CHI@MIL 11/28/2018 08:00PM ET,MIL,6.54
SF/PF,Thabo Sefolosha (11720875),Thabo Sefolosha,11720875,SF/PF/F/UTIL,3100,UTA@BKN 11/28/2018 07:30PM ET,UTA,6.69
SF/PF,Jared Dudley (11720879),Jared Dudley,11720879,SF/PF/F/UTIL,3100,UTA@BKN 11/28/2018 07:30PM ET,BKN,12.69
SF/PF,Jake Layman (11720883),Jake Layman,11720883,SF/PF/F/UTIL,3100,ORL@POR 11/28/2018 10:00PM ET,POR,10.37
PG/SG,Raymond Felton (11720887),Raymond Felton,11720887,PG/SG/G/UTIL,3100,CLE@OKC 11/28/2018 08:00PM ET,OKC,11.07
C,Ante Zizic (11720891),Ante Zizic,11720891,C/UTIL,3100,CLE@OKC 11/28/2018 08:00PM ET,CLE,7.4
PF/C,Jason Smith (11720893),Jason Smith,11720893,PF/C/F/UTIL,3100,WAS@NO 11/28/2018 08:00PM ET,WAS,10.48
SF/PF,Darius Miller (11720897),Darius Miller,11720897,SF/PF/F/UTIL,3100,WAS@NO 11/28/2018 08:00PM ET,NO,11.53
PG/SG,Ian Clark (11720901),Ian Clark,11720901,PG/SG/G/UTIL,3100,WAS@NO 11/28/2018 08:00PM ET,NO,8.75
SG/SF,Tony Snell (11720910),Tony Snell,11720910,SG/SF/F/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,10.74
PF/C,Christian Wood (11720915),Christian Wood,11720915,PF/C/F/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,7.4
PF/C,D.J. Wilson (11720919),D.J. Wilson,11720919,PF/C/F/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,0
SG,Jaylen Morris (11720923),Jaylen Morris,11720923,SG/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,6.5
PF/C,Thon Maker (11720926),Thon Maker,11720926,PF/C/F/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,11.52
PG,Trevon Duval (11720930),Trevon Duval,11720930,PG/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,0
C,Cristiano Felicio (11720933),Cristiano Felicio,11720933,C/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,9.41
PG,Tyler Ulis (11720935),Tyler Ulis,11720935,PG/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,0
SG/SF,Denzel Valentine (11720938),Denzel Valentine,11720938,SG/SF/F/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,0
C,Robin Lopez (11720943),Robin Lopez,11720943,C/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,10.28
SG,Rawle Alkins (11720945),Rawle Alkins,11720945,SG/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,0
C,John Henson (11721331),John Henson,11721331,C/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,MIL,16.02
SG/SF,Chandler Hutchison (11721333),Chandler Hutchison,11721333,SG/SF/F/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,12.29
PG/SG,Cameron Payne (11721338),Cameron Payne,11721338,PG/SG/G/UTIL,3000,CHI@MIL 11/28/2018 08:00PM ET,CHI,13.70
SG/SF,George King (11720948),George King,11720948,SG/SF/F/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,0
SG,Troy Daniels (11720953),Troy Daniels,11720953,SG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,6.6
PF/C,Ryan Anderson (11720956),Ryan Anderson,11720956,PF/C/F/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,11.21
PG/SG,De'Anthony Melton (11720960),De'Anthony Melton,11720960,PG/SG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,8
PF/C,Dragan Bender (11720964),Dragan Bender,11720964,PF/C/F/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,2.17
PG,Elie Okobo (11720968),Elie Okobo,11720968,PG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,PHO,11.77
PG,Milos Teodosic (11720971),Milos Teodosic,11720971,PG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,8.56
SF/PF,Luc Richard Mbah a Moute (11720974),Luc Richard Mbah a Moute,11720974,SF/PF/F/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,8.94
PG/SG,Tyrone Wallace (11720978),Tyrone Wallace,11720978,PG/SG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,5.55
SG/SF,Sindarius Thornwell (11720982),Sindarius Thornwell,11720982,SG/SF/F/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,3.79
PF/C,Johnathan Motley (11720987),Johnathan Motley,11720987,PF/C/F/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,0
SG,Jerome Robinson (11720991),Jerome Robinson,11720991,SG/G/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,4.32
C,Angel Delgado (11720994),Angel Delgado,11720994,C/UTIL,3000,PHO@LAC 11/28/2018 10:30PM ET,LAC,0
PG,Joe Chealey (11720996),Joe Chealey,11720996,PG/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,CHA,0
PG/SG,Devonte' Graham (11720999),Devonte' Graham,11720999,PG/SG/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,CHA,6.08
SG,J.P. Macura (11721003),J.P. Macura,11721003,SG/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,CHA,0
C,Bismack Biyombo (11721006),Bismack Biyombo,11721006,C/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,CHA,7.22
C,Miles Plumlee (11721008),Miles Plumlee,11721008,C/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,ATL,11.60
SF/PF,Justin Anderson (11721010),Justin Anderson,11721010,SF/PF/F/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,ATL,7.25
SG/SF,Daniel Hamilton (11721014),Daniel Hamilton,11721014,SG/SF/F/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,ATL,0.5
PG,Jaylen Adams (11721019),Jaylen Adams,11721019,PG/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,ATL,2.38
PG/SG,Tyler Dorsey (11721022),Tyler Dorsey,11721022,PG/SG/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,ATL,6.52
SG/SF,Dwayne Bacon (11721342),Dwayne Bacon,11721342,SG/SF/F/G/UTIL,3000,ATL@CHA 11/28/2018 07:00PM ET,CHA,12.39
PF/C,Chimezie Metu (11721026),Chimezie Metu,11721026,PF/C/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,SA,4.62
PG,Dejounte Murray (11721030),Dejounte Murray,11721030,PG/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,SA,0
SF,Quincy Pondexter (11721033),Quincy Pondexter,11721033,SF/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,SA,4.89
PG/SG,Lonnie Walker IV (11721036),Lonnie Walker IV,11721036,PG/SG/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,SA,0
SF/PF,Keita Bates-Diop (11721040),Keita Bates-Diop,11721040,SF/PF/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,4.88
