Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Jodie Meeks (11676703),Jodie Meeks,11676703,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,0
PF/C,Thon Maker (11676864),Thon Maker,11676864,PF/C/F/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,11.56
SG/SF,Nik Stauskas (11676868),Nik Stauskas,11676868,SG/SF/F/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,13.73
SG,Anfernee Simons (11676921),Anfernee Simons,11676921,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,4.06
SG,Sterling Brown (11676952),Sterling Brown,11676952,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,4.41
PF,Caleb Swanigan (11676977),Caleb Swanigan,11676977,PF/F/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,9.53
PG/SG,Seth Curry (11677020),Seth Curry,11677020,PG/SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,POR,8.48
SG,Jaylen Morris (11677024),Jaylen Morris,11677024,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,0.75
PF,D.J. Wilson (11677027),D.J. Wilson,11677027,PF/F/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,0
C,Christian Wood (11677030),Christian Wood,11677030,C/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,4.06
PG/SG,Matthew Dellavedova (11677032),Matthew Dellavedova,11677032,PG/SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,5.75
SG,Donte DiVincenzo (11677158),Donte DiVincenzo,11677158,SG/G/UTIL,3000,POR@MIL 11/21/2018 08:00PM ET,MIL,13.45
SG,J.P. Macura (11676706),J.P. Macura,11676706,SG/G/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,CHA,0
PG,Joe Chealey (11676709),Joe Chealey,11676709,PG/G/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,CHA,0
PF,TJ Leaf (11676712),TJ Leaf,11676712,PF/F/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,IND,3.9
SG,Davon Reed (11676715),Davon Reed,11676715,SG/G/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,IND,0
C,Bismack Biyombo (11676924),Bismack Biyombo,11676924,C/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,CHA,7.22
PG,Devonte' Graham (11677036),Devonte' Graham,11677036,PG/G/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,CHA,5.17
PF/C,Frank Kaminsky (11677039),Frank Kaminsky,11677039,PF/C/F/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,CHA,4.15
PG,Edmond Sumner (11677043),Edmond Sumner,11677043,PG/G/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,IND,1.25
PF,Alize Johnson (11677046),Alize Johnson,11677046,PF/F/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,IND,2.33
PF/C,Ike Anigbogu (11677049),Ike Anigbogu,11677049,PF/C/F/UTIL,3000,IND@CHA 11/21/2018 07:00PM ET,IND,2.75
SG/SF,James Nunnally (11676718),James Nunnally,11676718,SG/SF/F/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,4.46
PG/SG,Jerryd Bayless (11676723),Jerryd Bayless,11676723,PG/SG/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,0
SF/PF,Luol Deng (11676727),Luol Deng,11676727,SF/PF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,9.5
PG,Jared Terrell (11676731),Jared Terrell,11676731,PG/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,12.25
PG,DeVaughn Akoon-Purcell (11676734),DeVaughn Akoon-Purcell,11676734,PG/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,3.44
C,Thomas Welsh (11676737),Thomas Welsh,11676737,C/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,2.75
PF,Tyler Lydon (11676739),Tyler Lydon,11676739,PF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,2.5
SF/PF,Jarred Vanderbilt (11676742),Jarred Vanderbilt,11676742,SF/PF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,0
SF/PF,Michael Porter Jr. (11676746),Michael Porter Jr.,11676746,SF/PF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,0
SG/SF,C.J. Williams (11677053),C.J. Williams,11677053,SG/SF/F/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,3.5
SF/PF,Anthony Tolliver (11677058),Anthony Tolliver,11677058,SF/PF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,12.62
SF,Keita Bates-Diop (11677062),Keita Bates-Diop,11677062,SF/F/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,MIN,4.88
SG/SF,Torrey Craig (11677065),Torrey Craig,11677065,SG/SF/F/G/UTIL,3000,DEN@MIN 11/21/2018 08:00PM ET,DEN,9.56
C,Tyler Davis (11676750),Tyler Davis,11676750,C/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,0
SG,Jacob Evans III (11676752),Jacob Evans III,11676752,SG/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,GS,3.36
SF,Marcus Derrickson (11676755),Marcus Derrickson,11676755,SF/F/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,GS,1.38
SG/SF,Andre Roberson (11676844),Andre Roberson,11676844,SG/SF/F/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,0
SG/SF,Alex Abrines (11676852),Alex Abrines,11676852,SG/SF/F/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,12.36
PF/C,Patrick Patterson (11676876),Patrick Patterson,11676876,PF/C/F/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,11.47
PG,Shaun Livingston (11676884),Shaun Livingston,11676884,PG/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,GS,12.39
SG,Deonte Burton (11676908),Deonte Burton,11676908,SG/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,4.5
SG,Damion Lee (11677070),Damion Lee,11677070,SG/G/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,GS,7.75
SF,Terrance Ferguson (11677161),Terrance Ferguson,11677161,SF/F/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,9.68
PF,Abdel Nader (11677164),Abdel Nader,11677164,PF/F/UTIL,3000,OKC@GS 11/21/2018 10:30PM ET,OKC,2.46
PF,Isaiah Hicks (11676758),Isaiah Hicks,11676758,PF/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,0
SG/SF,Courtney Lee (11676761),Courtney Lee,11676761,SG/SF/F/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,0
PF/C,Kristaps Porzingis (11676766),Kristaps Porzingis,11676766,PF/C/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,0
PG,Walt Lemon Jr. (11676770),Walt Lemon Jr.,11676770,PG/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,0
PG,PJ Dozier (11676773),PJ Dozier,11676773,PG/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,0
PF/C,Daniel Theis (11676894),Daniel Theis,11676894,PF/C/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,9.94
PF,Semi Ojeleye (11676938),Semi Ojeleye,11676938,PF/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,4.52
PG/SG,Ron Baker (11676971),Ron Baker,11676971,PG/SG/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,4.06
PF,Luke Kornet (11677073),Luke Kornet,11677073,PF/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,0.62
SF/PF,Lance Thomas (11677076),Lance Thomas,11677076,SF/PF/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,NY,9.23
PG/SG,Brad Wanamaker (11677080),Brad Wanamaker,11677080,PG/SG/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,5.06
SG,Jabari Bird (11677084),Jabari Bird,11677084,SG/G/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,0
PF,Guerschon Yabusele (11677087),Guerschon Yabusele,11677087,PF/F/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,4.69
C,Robert Williams (11677090),Robert Williams,11677090,C/UTIL,3000,NY@BOS 11/21/2018 07:30PM ET,BOS,4.38
PF,Tyler Cavanaugh (11676776),Tyler Cavanaugh,11676776,PF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,0
