Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Frank Jackson (11703906),Frank Jackson,11703906,PG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,6.61
PG,Trevon Bluiett (11703909),Trevon Bluiett,11703909,PG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,0
C,Jahlil Okafor (11703912),Jahlil Okafor,11703912,C/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,6.38
SF,Kenrich Williams (11703914),Kenrich Williams,11703914,SF/F/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,2.25
SF/PF,Solomon Hill (11703917),Solomon Hill,11703917,SF/PF/F/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,10.16
PG/SG,Tim Frazier (11703921),Tim Frazier,11703921,PG/SG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,NO,7.89
PG/SG,Brad Wanamaker (11703925),Brad Wanamaker,11703925,PG/SG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,5.25
SG,Jabari Bird (11703929),Jabari Bird,11703929,SG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,0
PG,Walt Lemon Jr. (11703932),Walt Lemon Jr.,11703932,PG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,0
PF,Semi Ojeleye (11703935),Semi Ojeleye,11703935,PF/F/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,5.21
PG,PJ Dozier (11703938),PJ Dozier,11703938,PG/G/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,0
PF,Guerschon Yabusele (11703941),Guerschon Yabusele,11703941,PF/F/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,4.56
C,Robert Williams (11703944),Robert Williams,11703944,C/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,5.45
PF/C,Daniel Theis (11703946),Daniel Theis,11703946,PF/C/F/UTIL,3000,BOS@NO 11/26/2018 08:00PM ET,BOS,10.07
